"","Original address","Freq","Location.Address"
"876","5553 S. Kenwood",1,"5553 South Kenwood"
"877","5554 S. Ellis ",1,"5554 South Ellis "
"878","5555 S.. Woodlawn",1,"5555 South. Woodlawn"
"879","5558 S. Kimbark",1,"5558 South Kimbark"
"880","55th & Cottage Grove",1,"55th and Cottage Grove"
"881","55th & Dorchester",1,"55th and Dorchester"
"882","55th & Kimbark",1,"55th and Kimbark"
"883","55th & Lake Shore Dr.",1,"55th and Lake Shore Drive"
"884","55th & South Shore",1,"55th and South Shore"
"885","55th at Cornell",1,"55th at Cornell"
"886","55th at Everett",1,"55th at Everett"
"887","55th near Woodlawn ",1,"55th and Woodlawn "
"888","55th St. at Woodlawn ",1,"55th Street at Woodlawn "
"889","5600 S, Blackstone",1,"5600 South Blackstone"
"890","5600 S. Dorchester",1,"5600 South Dorchester"
"891","5600 S. Drexel ",1,"5600 South Drivexel "
"892","5600 S. Greenwood ",1,"5600 South Greenwood "
"893","5600 S. Harper ",1,"5600 South Harper "
"894","5600 S. Kimbark ",1,"5600 South Kimbark "
"895","5600 S. Lake Park",1,"5600 South Lake Park"
"896","5600 S. Stony Island",1,"5600 South Stony Island"
"897","5600 S. University ",1,"5600 South University "
"898","5600 South Shore Dr. ",1,"5600 South Shore Drive "
"899","5603 S. Dorchester ",1,"5603 South Dorchester "
"900","5607 S. Drexel ",1,"5607 South Drivexel "
"901","5608 S. Stony Island ",1,"5608 South Stony Island "
"902","5609 S. Kenwood ",1,"5609 South Kenwood "
"903","5609 S. Stony Island ",1,"5609 South Stony Island "
"904","5610 S. Ellis ",1,"5610 South Ellis "
"905","5611 S. Everett",1,"5611 South Everett"
"906","5615 S. Maryland ",1,"5615 South Maryland "
"907","5620 S. Cottage Grove ",1,"5620 South Cottage Grove "
"908","5620 S. Drexel ",1,"5620 South Drivexel "
"909","5620 S. Ellis ",1,"5620 South Ellis "
"910","5625 S. Lake Park",1,"5625 South Lake Park"
"911","5627 S. Dorchester ",1,"5627 South Dorchester "
"912","5628 S. Drexel",1,"5628 South Drivexel"
"913","5630 S. Ellis",1,"5630 South Ellis"
"914","5630 S. Lake Park ",1,"5630 South Lake Park "
"915","5631 S. Kimbark ",1,"5631 South Kimbark "
"916","5631 S. Maryland ",1,"5631 South Maryland "
"917","5632 S. Lake Shore Dr. ",1,"5632 South Lake Shore Drive "
"918","5633 S. Kenwood ",1,"5633 South Kenwood "
"919","5635 S. Kimbark ",1,"5635 South Kimbark "
"920","5640 S. Ellis",1,"5640 South Ellis"
"921","5641 S. Kimbark ",1,"5641 South Kimbark "
"922","5641 S. Woodlawn",1,"5641 South Woodlawn"
"923","5645 S. Cottage Grove ",1,"5645 South Cottage Grove "
"924","5645 S. Harper ",1,"5645 South Harper "
"925","5645 S. Maryland ",1,"5645 South Maryland "
"926","5649 S. Blackstone",1,"5649 South Blackstone"
"927","5650 S. Woodlawn ",1,"5650 South Woodlawn "
"928","5655 S. Cottage Grove",1,"5655 South Cottage Grove"
"929","5656 S. Maryland  ",1,"5656 South Maryland  "
"930","5657 S. Cottage Grove ",1,"5657 South Cottage Grove "
"931","5658 S. Blackstone ",1,"5658 South Blackstone "
"932","56th & Cornell",1,"56th and Cornell"
"933","56th & Drexel",1,"56th and Drivexel"
"934","56th & Lake Park ",1,"56th and Lake Park "
"935","56th at Kenwood ",1,"56th at Kenwood "
"936","56th St. at Everett",1,"56th Street at Everett"
"937","5700 S. Cornell",1,"5700 South Cornell"
"938","5700 S. Cottage Grove",1,"5700 South Cottage Grove"
"939","5700 S. Dorchester ",1,"5700 South Dorchester "
"940","5700 S. Everett",1,"5700 South Everett"
"941","5700 S. Harper",1,"5700 South Harper"
"942","5700 S. Kenwood",1,"5700 South Kenwood"
"943","5700 S. Kimbark",1,"5700 South Kimbark"
"944","5700 S. Lake Shore Dr. ",1,"5700 South Lake Shore Drive "
"945","5700 S. Maryland",1,"5700 South Maryland"
"946","5701 S. Ellis ",1,"5701 South Ellis "
"947","5701 S. University",1,"5701 South University"
"948","5701 S. University ",1,"5701 South University "
"949","5704 S. Harper",1,"5704 South Harper"
"950","5705 S. Cottage Grove ",1,"5705 South Cottage Grove "
"951","5706 S. University",1,"5706 South University"
"952","5706 S. University Reynolds Club)",1,"5706 South University Reynolds Club)"
"953","5707 S. Harper",1,"5707 South Harper"
"954","5710 S. Blackstone",1,"5710 South Blackstone"
"955","5710 S. Woodlawn",1,"5710 South Woodlawn"
"956","5720 S. University",1,"5720 South University"
"957","5720 S. Woodlawn",1,"5720 South Woodlawn"
"958","5720 S. Woodlawn ",1,"5720 South Woodlawn "
"959","5721 S. Cottage Grove",1,"5721 South Cottage Grove"
"960","5721 S. Cottage Grove ",1,"5721 South Cottage Grove "
"961","5722 S. Maryland",1,"5722 South Maryland"
"962","5725 S. Drexel ",1,"5725 South Drivexel "
"963","5727 S, Kimbark",1,"5727 South Kimbark"
"964","5728 S. Woodlawn",1,"5728 South Woodlawn"
"965","5729 S. Maryland ",1,"5729 South Maryland "
"966","5730 E. Drexel ",1,"5730 East Drivexel "
"967","5730 S. Cottage Grove",1,"5730 South Cottage Grove"
"968","5731 S. Cottage Grove ",1,"5731 South Cottage Grove "
"969","5731 S. Drexel ",1,"5731 South Drivexel "
"970","5732 S. University",1,"5732 South University"
"971","5734 S Ellis ",1,"5734 S Ellis "
"972","5737 S. Kimbark ",1,"5737 South Kimbark "
"973","5745 S. Cottage Grove",1,"5745 South Cottage Grove"
"974","5745 S. Drexel ",1,"5745 South Drivexel "
"975","5747 S. Drexel",1,"5747 South Drivexel"
"976","5747 S. Ellis",1,"5747 South Ellis"
"977","5747 S. University",1,"5747 South University"
"978","5756 S. Ellis ",1,"5756 South Ellis "
"979","5757 S. Cottage Grove",1,"5757 South Cottage Grove"
"980","5757 S. Woodlawn ",1,"5757 South Woodlawn "
"981","5758 S. Maryland",1,"5758 South Maryland"
"982","5759 S. Drexel",1,"5759 South Drivexel"
"983","5759 S. Kenwood ",1,"5759 South Kenwood "
"984","57th & Cottage Grove",1,"57th and Cottage Grove"
"985","57th & Shore Dr.",1,"57th and Shore Drive"
"986","57th & Stony Island",1,"57th and Stony Island"
"987","57th at Kenwood",1,"57th at Kenwood"
"988","5800 S. Dorchester ",1,"5800 South Dorchester "
"989","5800 S. Ellis",1,"5800 South Ellis"
"990","5800 S. Harper",1,"5800 South Harper"
"991","5800 S. Kenwood",1,"5800 South Kenwood"
"992","5800 S. University",1,"5800 South University"
"993","5800 S. University  ",1,"5800 South University  "
"994","5801 S. Cottage Grove",1,"5801 South Cottage Grove"
"995","5801 S. Cottage Grove ",1,"5801 South Cottage Grove "
"996","5801 S. Kenwood ",1,"5801 South Kenwood "
"997","5801 S. University ",1,"5801 South University "
"998","5808 S. Russell Dr. ",1,"5808 South Russell Drive "
"999","5810 S. Ellis ",1,"5810 South Ellis "
"1000","5811 S, Ellis ",1,"5811 South Ellis "
"1001","5811 S. Kenwood ",1,"5811 South Kenwood "
"1002","5812 S. Ellis",1,"5812 South Ellis"
"1003","5812 S. Kenwood",1,"5812 South Kenwood"
"1004","5813 S. Blackstone ",1,"5813 South Blackstone "
"1005","5815 S. Cottage Grove",1,"5815 South Cottage Grove"
"1006","5815 S. Ellis ",1,"5815 South Ellis "
"1007","5815 S. Greenwood ",1,"5815 South Greenwood "
"1008","5816 S. Kenwood ",1,"5816 South Kenwood "
"1009","5816 S. Maryland ",1,"5816 South Maryland "
"1010","5821 S. Drexel ",1,"5821 South Drivexel "
"1011","5824 S. Ellis ",1,"5824 South Ellis "
"1012","5825 S. Dorchester ",1,"5825 South Dorchester "
"1013","5825 S. Kimbark ",1,"5825 South Kimbark "
"1014","5827 S. University ",1,"5827 South University "
"1015","5828 S. University",1,"5828 South University"
"1016","5830 S. Ellis",1,"5830 South Ellis"
"1017","5835 S. Cottage Grove ",1,"5835 South Cottage Grove "
"1018","5835 S. Kimbark",1,"5835 South Kimbark"
"1019","5836 S. Greenwood",1,"5836 South Greenwood"
"1020","5839 S. Maryland",1,"5839 South Maryland"
"1021","5841 S. Maryland",1,"5841 South Maryland"
"1022","5850 S. Dorchester ",1,"5850 South Dorchester "
"1023","5850 S. Kenwood",1,"5850 South Kenwood"
"1024","5850 S. Maryland ",1,"5850 South Maryland "
"1025","5855 S. Cottage Grove",1,"5855 South Cottage Grove"
"1026","5855 S. University",1,"5855 South University"
"1027","5858 S. Dorchester ",1,"5858 South Dorchester "
"1028","58th & Cottage Grove ",1,"58th and Cottage Grove "
"1029","58th & Drexel",1,"58th and Drivexel"
"1030","58th & Ellis",1,"58th and Ellis"
"1031","58th near Dorchester",1,"58th and Dorchester"
"1032","5900 S. Blackstone ",1,"5900 South Blackstone "
"1033","5900 S. Ellis ",1,"5900 South Ellis "
"1034","5900 S. Kimbark ",1,"5900 South Kimbark "
"1035","5900 S. Maryland ",1,"5900 South Maryland "
"1036","5900 S. University",1,"5900 South University"
"1037","5900 S. University ",1,"5900 South University "
"1038","5900 S. Woodlawn ",1,"5900 South Woodlawn "
"1039","5901 S. Cottage Grove ",1,"5901 South Cottage Grove "
"1040","5917 S. Cottage Grove",1,"5917 South Cottage Grove"
"1041","5932 S.  Woodlawn ",1,"5932 South  Woodlawn "
"1042","5951 S. Ellis ",1,"5951 South Ellis "
"1043","59th & Blackstone",1,"59th and Blackstone"
"1044","59th & Stony Island",1,"59th and Stony Island"
"1045","59th & University",1,"59th and University"
"1046","59th at University",1,"59th at University"
"1047","59th St. near University",1,"59th Street and University"
"1048","6000 S. Stony Island ",1,"6000 South Stony Island "
"1049","6000 S. University",1,"6000 South University"
"1050","6010 S. Dorchester",1,"6010 South Dorchester"
"1051","6014 S. Stony Island ",1,"6014 South Stony Island "
"1052","6020 S, Drexel ",1,"6020 South Drivexel "
"1053","6020 S. University",1,"6020 South University"
"1054","6020 S. University ",1,"6020 South University "
"1055","6021 S. Cottage Grove ",1,"6021 South Cottage Grove "
"1056","6025 S. Ellis",1,"6025 South Ellis"
"1057","6027 S. Ingleside ",1,"6027 South Ingleside "
"1058","6030 S. Ellis",1,"6030 South Ellis"
"1059","6030 S. Kimbark ",1,"6030 South Kimbark "
"1060","6031  S. Ellis ",1,"6031  South Ellis "
"1061","6035 S. Ellis ",1,"6035 South Ellis "
"1062","6035 S. Harper ",1,"6035 South Harper "
"1063","6035 S. Kimbark",1,"6035 South Kimbark"
"1064","6040 S. Ellis ",1,"6040 South Ellis "
"1065","6040 S. University ",1,"6040 South University "
"1066","6041 S. Blackstone ",1,"6041 South Blackstone "
"1067","6049 S. Dorchester",1,"6049 South Dorchester"
"1068","6050 S. University ",1,"6050 South University "
"1069","6050 S. Woodlawn",1,"6050 South Woodlawn"
"1070","6052 S. Kenwood ",1,"6052 South Kenwood "
"1071","6054 S. Ellis ",1,"6054 South Ellis "
"1072","6055 S. Kimbark ",1,"6055 South Kimbark "
"1073","6059 S. Woodlawn ",1,"6059 South Woodlawn "
"1074","6060 S. Woodlawn ",1,"6060 South Woodlawn "
"1075","6069 S. Kimbark ",1,"6069 South Kimbark "
"1076","60th & Drexel",1,"60th and Drivexel"
"1077","60th & Ellis ",1,"60th and Ellis "
"1078","60th at Ellis",1,"60th at Ellis"
"1079","6100 S. Drexel",1,"6100 South Drivexel"
"1080","6100 S. Drexel ",1,"6100 South Drivexel "
"1081","6100 S. Ellis",1,"6100 South Ellis"
"1082","6100 S. Evans ",1,"6100 South Evans "
"1083","6100 S. Ingleside ",1,"6100 South Ingleside "
"1084","6100 S. Kenwood ",1,"6100 South Kenwood "
"1085","6100 S. University ",1,"6100 South University "
"1086","6100 S. Woodlawn",1,"6100 South Woodlawn"
"1087","6100 S. Woodlawn ",1,"6100 South Woodlawn "
"1088","6101 S. Cottage Grove ",1,"6101 South Cottage Grove "
"1089","6101 S. Woodlawn",1,"6101 South Woodlawn"
"1090","6105 S. Cottage Grove",1,"6105 South Cottage Grove"
"1091","6109 S. Evans",1,"6109 South Evans"
"1092","6117 S. Kimbark ",1,"6117 South Kimbark "
"1093","6120 S. Ellis ",1,"6120 South Ellis "
"1094","6122 S. Greenwood",1,"6122 South Greenwood"
"1095","6125 S. Drexel",1,"6125 South Drivexel"
"1096","6128 S. Kenwood",1,"6128 South Kenwood"
"1097","6129 S. Cottage Grove",1,"6129 South Cottage Grove"
"1098","6130 S. Blackstone",1,"6130 South Blackstone"
"1099","6132 S. Ellis",1,"6132 South Ellis"
"1100","6140 S. Drexel",1,"6140 South Drivexel"
"1101","6141 S. Kimbark",1,"6141 South Kimbark"
"1102","6144 S. University ",1,"6144 South University "
"1103","6147 S. Kimbark",1,"6147 South Kimbark"
"1104","6149 S. Drexel",1,"6149 South Drivexel"
"1105","6151 S. Woodlawn",1,"6151 South Woodlawn"
"1106","6153 S. Greenwood",1,"6153 South Greenwood"
"1107","6158 S. Greenwood ",1,"6158 South Greenwood "
"1108","61st & Dorchester",1,"61st and Dorchester"
"1109","61st & Ellis",1,"61st and Ellis"
"1110","61st & Woodlawn",1,"61st and Woodlawn"
"1111","61st and Kimbark",1,"61st and Kimbark"
"1112","6200 S, Drexel ",1,"6200 South Drivexel "
"1113","6200 S. Cottage Grove",1,"6200 South Cottage Grove"
"1114","6200 S. Drexel ",1,"6200 South Drivexel "
"1115","6200 S. Ellis ",1,"6200 South Ellis "
"1116","6200 S. Ingleside ",1,"6200 South Ingleside "
"1117","6202 S. Kimbark",1,"6202 South Kimbark"
"1118","6210 S. Kenwood",1,"6210 South Kenwood"
"1119","6213 S. University",1,"6213 South University"
"1120","6216 S. Ellis",1,"6216 South Ellis"
"1121","6220 S. Kenwood",1,"6220 South Kenwood"
"1122","6225 S. Kenwood ",1,"6225 South Kenwood "
"1123","6229 S. Ellis",1,"6229 South Ellis"
"1124","6231 S. Kimbark ",1,"6231 South Kimbark "
"1125","6240 S. Kimbark",1,"6240 South Kimbark"
"1126","6243 S. Drexel ",1,"6243 South Drivexel "
"1127","6245 S. Ingleside ",1,"6245 South Ingleside "
"1128","6257 S. Kenwood ",1,"6257 South Kenwood "
"1129","62nd & Ellis ",1,"62nd and Ellis "
"1130","62nd & Evans",1,"62nd and Evans"
"1131","62nd & Kimbark",1,"62nd and Kimbark"
"1132","62nd & University",1,"62nd and University"
"1133","62nd at Kimbark ",1,"62nd at Kimbark "
"1134","6300 S. Blackstone ",1,"6300 South Blackstone "
"1135","6300 S. Cottage Grove ",1,"6300 South Cottage Grove "
"1136","6300 S. Dorchester",1,"6300 South Dorchester"
"1137","6300 S. Dorchester ",1,"6300 South Dorchester "
"1138","6300 S. Drexel",1,"6300 South Drivexel"
"1139","6300 S. Greenwood",1,"6300 South Greenwood"
"1140","6300 S. Greenwood ",1,"6300 South Greenwood "
"1141","6300 S. Maryland",1,"6300 South Maryland"
"1142","6300 S. Stony Island",1,"6300 South Stony Island"
"1143","6300 S. University",1,"6300 South University"
"1144","6300 S. Woodlawn ",1,"6300 South Woodlawn "
"1145","6320 S. Dorchester",1,"6320 South Dorchester"
"1146","6320 S. Dorchester ",1,"6320 South Dorchester "
"1147","6320 S. Drexel",1,"6320 South Drivexel"
"1148","6330 S. Drexel ",1,"6330 South Drivexel "
"1149","6344 S. Greenwood ",1,"6344 South Greenwood "
"1150","6345 S. Greenwood",1,"6345 South Greenwood"
"1151","6349 S. Cottage Grove ",1,"6349 South Cottage Grove "
"1152","6350 S. Greenwood",1,"6350 South Greenwood"
"1153","6354 S. Greenwood ",1,"6354 South Greenwood "
"1154","6357 S. Greenwood",1,"6357 South Greenwood"
"1155","63rd & Kenwood",1,"63rd and Kenwood"
"1156","63rd & Stony Island",1,"63rd and Stony Island"
"1157","6400 S. Dorchester",1,"6400 South Dorchester"
"1158","6400 S. Woodlawn",1,"6400 South Woodlawn"
"1159","6411 S. Greenwood",1,"6411 South Greenwood"
"1160","6420 S. Ellis",1,"6420 South Ellis"
"1161","6448 S. Drexel",1,"6448 South Drivexel"
"1162","6450 S. Stony Island",1,"6450 South Stony Island"
"1163","707 E. 37th St. ",1,"707 East 37th Street "
"1164","750 E. 62nd St.",1,"750 East 62nd Street"
"1165","7800 S. Stony Island ",1,"7800 South Stony Island "
"1166","79th & Stony Island ",1,"79th and Stony Island "
"1167","800 E. 57th St. ",1,"800 East 57th Street "
"1168","801 E. 58th St. ",1,"801 East 58th Street "
"1169","801 E. 63rd St. ",1,"801 East 63rd Street "
"1170","804 E. 54th St.",1,"804 East 54th Street"
"1171","805 E. Midway Pl.",1,"805 East Midway Plaisance"
"1172","808 E. 61st St.",1,"808 East 61st Street"
"1173","810 E. Hyde Park",1,"810 East Hyde Park"
"1174","811 E. 54th St. ",1,"811 East 54th Street "
"1175","815 E. 54th St.",1,"815 East 54th Street"
"1176","815 E. 56th St.",1,"815 East 56th Street"
"1177","815 E. 59th St. ",1,"815 East 59th Street "
"1178","817 E. 61st St.",1,"817 East 61st Street"
"1179","817 E. 63rd St.",1,"817 East 63rd Street"
"1180","818 E. 45th St. ",1,"818 East 45th Street "
"1181","820 E. 46th St. ",1,"820 East 46th Street "
"1182","820 E. 50th St.",1,"820 East 50th Street"
"1183","820 E. Midway Pl.",1,"820 East Midway Plaisance"
"1184","821 E. 55th St.",1,"821 East 55th Street"
"1185","823 E. 53rd St.",1,"823 East 53rd Street"
"1186","825 E. 52nd St.",1,"825 East 52nd Street"
"1187","825 E. 52nd St. ",1,"825 East 52nd Street "
"1188","825 E. 55th St.",1,"825 East 55th Street"
"1189","825 E. 62nd St. ",1,"825 East 62nd Street "
"1190","826 E. 44th St. ",1,"826 East 44th Street "
"1191","830 E. 59th St. ",1,"830 East 59th Street "
"1192","831 E. 46th St. ",1,"831 East 46th Street "
"1193","832 E. 59th St. ",1,"832 East 59th Street "
"1194","832 E. Midway Pl.",1,"832 East Midway Plaisance"
"1195","834 E. 50th St.",1,"834 East 50th Street"
"1196","834 E. 53rd St.",1,"834 East 53rd Street"
"1197","836 E. 63rd St.",1,"836 East 63rd Street"
"1198","841 E. 46th St.",1,"841 East 46th Street"
"1199","842 E. 53rd St. ",1,"842 East 53rd Street "
"1200","846 E. 56th St. ",1,"846 East 56th Street "
"1201","848 E. 56th St. ",1,"848 East 56th Street "
"1202","850 E. 56th St.",1,"850 East 56th Street"
"1203","850 E. 61st St ",1,"850 East 61st St "
"1204","860 E. 59th St.",1,"860 East 59th Street"
"1205","860 E. 61st St. ",1,"860 East 61st Street "
"1206","860 E. Midway Pl.",1,"860 East Midway Plaisance"
"1207","865 E. 57th St. ",1,"865 East 57th Street "
"1208","865 E. 61st St.",1,"865 East 61st Street"
"1209","900 E.  57th St. ",1,"900 East  57th Street "
"1210","900 E. 55th St.",1,"900 East 55th Street"
"1211","900 E. 57th St.",1,"900 East 57th Street"
"1212","900 E. 59th St. ",1,"900 East 59th Street "
"1213","900 E. 60th St.",1,"900 East 60th Street"
"1214","900 E. Midway Pl. ",1,"900 East Midway Plaisance "
"1215","901 E. Midway Pl.",1,"901 East Midway Plaisance"
"1216","901 E.58th St. ",1,"901 East58th Street "
"1217","901q E. 58th St. ",1,"901q East 58th Street "
"1218","902 E. 58th St. ",1,"902 East 58th Street "
"1219","905 E. 56th St. ",1,"905 East 56th Street "
"1220","910 E. 58th St.",1,"910 East 58th Street"
"1221","912 E. 55th Dr.",1,"912 East 55th Drive"
"1222","915 E. 60th St.",1,"915 East 60th Street"
"1223","915 E. 61st St.",1,"915 East 61st Street"
"1224","915 E. 63rd St. ",1,"915 East 63rd Street "
"1225","915 E. Midway Pl.",1,"915 East Midway Plaisance"
"1226","919 E. 50th St.",1,"919 East 50th Street"
"1227","920 E. 59th St. ",1,"920 East 59th Street "
"1228","920 E. 61st St. ",1,"920 East 61st Street "
"1229","921 E. 54th Pl. ",1,"921 East 54th Place "
"1230","922 E. 61st St.",1,"922 East 61st Street"
"1231","923 E. 45th St.",1,"923 East 45th Street"
"1232","924 E. 56th St. ",1,"924 East 56th Street "
"1233","924 E. 58th St. ",1,"924 East 58th Street "
"1234","926 E. 61st St. ",1,"926 East 61st Street "
"1235","929 E, 57th St. ",1,"929 East 57th Street "
"1236","929 E. 57th St.",1,"929 East 57th Street"
"1237","929 E. 57th St. Gordon Center ",1,"929 East 57th Street Gordon Center "
"1238","929 E. 60th St. ",1,"929 East 60th Street "
"1239","930 E. 46th St.",1,"930 East 46th Street"
"1240","930 E. 55th St. ",1,"930 East 55th Street "
"1241","935 E. 54th Pl.",1,"935 East 54th Place"
"1242","935 E. 60th St.",1,"935 East 60th Street"
"1243","935 E. Midway Pl.",1,"935 East Midway Plaisance"
"1244","936 E. 54th St. ",1,"936 East 54th Street "
"1245","939 E. 45th St. ",1,"939 East 45th Street "
"1246","940 E. 57th St.",1,"940 East 57th Street"
"1247","9400 Southwest Hwy. Oak Lawn, IL",1,"9400 Southwest Highway Oak Lawn"
"1248","941 E. 54th St.",1,"941 East 54th Street"
"1249","943 E. 58th St.",1,"943 East 58th Street"
"1250","945 E. 57th St. ",1,"945 East 57th Street "
"1251","950 E. 53rd St.",1,"950 East 53rd Street"
"1252","950 E. 58th St. ",1,"950 East 58th Street "
"1253","950 E. 59th St.",1,"950 East 59th Street"
"1254","950 E. Hyde Park ",1,"950 East Hyde Park "
"1255","950 E. Midway Pl.",1,"950 East Midway Plaisance"
"1256","951 E. Midway Pl.",1,"951 East Midway Plaisance"
"1257","955 E. 62nd St. ",1,"955 East 62nd Street "
"1258","959 E. 61st St.",1,"959 East 61st Street"
"1259","961 E. 54th Pl.",1,"961 East 54th Place"
"1260","961 E. 58th St. ",1,"961 East 58th Street "
"1261","968 E. 60th St.",1,"968 East 60th Street"
"1262","969 E. 57th St. ",1,"969 East 57th Street "
"1263","970 E, 58th St. ",1,"970 East 58th Street "
"1264","970 E. 59th St. ",1,"970 East 59th Street "
"1265","970 E. 60th St.",1,"970 East 60th Street"
"1266","Area 64th & Minerva",1,"Area 64th and Minerva"
"1267","Area of 60th & Dorchester",1,"Area of 60th and Dorchester"
"1268","Blackstone at 59th",1,"Blackstone at 59th"
"1269","Blackstone near 53rd",1,"Blackstone and 53rd"
"1270","Blackstone near 54th",1,"Blackstone and 54th"
"1271","BSD ",1,"BSD "
"1272","Burton-Judson RH",1,"Burton-Judson RH"
"1273","Dan Ryan Exp. at 83rd St..",1,"Dan Ryan Exp. at 83rd Street."
"1274","Dorchester at 62nd",1,"Dorchester at 62nd"
"1275","E. 50th St. near Cornell",1,"East 50th Street and Cornell"
"1276","Ellis at Midway Pl.",1,"Ellis at Midway Plaisance"
"1277","Ellis near 62nd",1,"Ellis and 62nd"
"1278","Ellis near 62nd St.",1,"Ellis and 62nd Street"
"1279","Hammond, IN",1,"Hammond"
"1280","Hyde Park & Dorchester",1,"Hyde Park and Dorchester"
"1281","Hyde Park & Ingleside",1,"Hyde Park and Ingleside"
"1282","Hyde Park at 56th",1,"Hyde Park at 56th"
"1283","Interstate 290 - Oak Park, IL",1,"Interstate 290 - Oak Park"
"1284","Joliet, IL",1,"Joliet"
"1285","Kenwood at 52nd St.",1,"Kenwood at 52nd Street"
"1286","Kenwood near 58th St.",1,"Kenwood and 58th Street"
"1287","Kimbark at 60th St.",1,"Kimbark at 60th Street"
"1288","Kimbark at 63rd St.",1,"Kimbark at 63rd Street"
"1289","Max Palevsky Residence Hall",1,"Max Palevsky Residence Hall"
"1290","Max Palevsky RH",1,"Max Palevsky RH"
"1291","Metra Train",1,"Metra Train"
"1292","Midway Pl. at Ellis",1,"Midway Plaisance at Ellis"
"1293","Midway Pl. at University",1,"Midway Plaisance at University"
"1294","Off-Campus private apartment",1,"Off-Campus private apartment"
"1295","Off-Campus Private Apartment",1,"Off-Campus Private Apartment"
"1296","Out of Area",1,"Out of Area"
"1297","S. Woodlawn at 47th St,",1,"South Woodlawn at 47th Street"
"1298","Starbucks 865 E. 57th St.",1,"Starbucks 865 East 57th Street"
"1299","State St. & Roosevelt Rd.",1,"State Street and Roosevelt Rd."
"1300","Unknown Location",1,"Unknown Location"
"1301","Various Areas on Campus",1,"Various Areas on Campus"
"1302","Various locations within UCPD Patrol Area",1,"Various locations within UCPD Patrol Area"
"1303","Woodlawn at 52nd",1,"Woodlawn at 52nd"
"1304","Woodlawn at 52nd St.",1,"Woodlawn at 52nd Street"
"1305","Ellis between 54th & 55th",23,"Ellis  and  54th ,Ellis  and  55th"
"1306","Greenwood between 53rd & 54th",19,"Greenwood  and  53rd ,Greenwood  and  54th"
