parking,address,Latitude,Longitude
A1 lot,2939 south state,41.83979,-87.626358
A2 lot,3040 s wabash,41.838987,-87.626262
B2 lot,W 31st street and South Federal,41.838044,-87.628779
B3 lot,3140 South Federal St,41.836824,-87.629417
B5 lot,3144 South Federal St,41.835832,-87.629165
B6 lot,3152 South Federal St,41.83539,-87.629
A4 lot,E 31st street and South State,41.837268,-87.626259
A3 lot,3100 s wabash,41.837681,-87.625629
A6 lot,E 33rd street and South Wabash,41.835013,-87.624993
A5 lot,E 32nd Street and South Michigan,41.836554,-87.623937
D1 lot,3350 s wabash,41.834156,-87.625475
D2 lot,3350 s wabash,41.833333,-87.625456
D3m lot,3340 S Michigan Ave,41.833525,-87.623603
D3 lot,E 34th and South Wabash,41.832907,-87.624138
D5 lot,E 34th and South Wabash,41.831964,-87.625441
D4 lot,E 34th and South State,41.832005,-87.626151
C1 lot,3300 South Federal St,41.833967,-87.628838
C2 lot,3300 South Federal St,41.833314,-87.628832
C4 lot,10 w 34th,41.83282,-87.628351
C5 lot,3400-3498 S Federal St,41.831871,-87.628992
A1 parking lot,2939 south state,41.83979,-87.626358
A2 parking lot,3040 s wabash,41.838987,-87.626262
B2 parking lot,W 31st street and South Federal,41.838044,-87.628779
B3 parking lot,3140 South Federal St,41.836824,-87.629417
B5 parking lot,3144 South Federal St,41.835832,-87.629165
B6 parking lot,3152 South Federal St,41.83539,-87.629
A4 parking lot,E 31st street and South State,41.837268,-87.626259
A3 parking lot,3100 s wabash,41.837681,-87.625629
A6 parking lot,E 33rd street and South Wabash,41.835013,-87.624993
A5 parking lot,E 32nd Street and South Michigan,41.836554,-87.623937
D1 parking lot,3350 s wabash,41.834156,-87.625475
D2 parking lot,3350 s wabash,41.833333,-87.625456
D3m parking lot,3340 S Michigan Ave,41.833525,-87.623603
D3 parking lot,E 34th and South Wabash,41.832907,-87.624138
D5 parking lot,E 34th and South Wabash,41.831964,-87.625441
D4 parking lot,E 34th and South State,41.832005,-87.626151
C1 parking lot,3300 South Federal St,41.833967,-87.628838
C2 parking lot,3300 South Federal St,41.833314,-87.628832
C4 parking lot,10 w 34th,41.83282,-87.628351
C5 parking lot,3400-3498 S Federal St,41.831871,-87.628992
green line – 34th,E 34th street and South State,41.83285,-87.625893
green line – 35th,E 35th street and South State,41.831394,-87.625862
red line – 35th,Sox-35th,41.831124,-87.630661